first_name,last_name,gender,date_of_birth,email,personal_email,phone,phone_2,door_no,street,village_town,pin_code,aadhaar_number,pan_number,uan_number,esi_number,driving_license_number,bank_name,bank_branch,bank_account_number,ifsc_code,emergency_contact_name,emergency_contact_number,emergency_contact_relation,highest_qualification,year_of_passing,percentage,institute_name,last_firm_name,years_of_experience,last_designation,last_drawn_salary,reason_to_quit,referred_by,health_issues,allergies,designation,date_joined,joining_salary,project,role,initial_password
Lakshmi,Singh,Female,1989-09-26,lakshmi.singh11@example.com,lakshmi69@gmail.com,9740048999,,232,Church Street,Lucknow,239713,423359146958,GBQHN9913V,520274165342,53068515066586086,DL1670966116886,Bank of Baroda,Connaught Place,604431461087945,CNRB0726256,Priya Reddy,9651191609,Sister,M.Tech,2015,88.8,Mumbai University,,14,Product Manager,,Relocation,,Asthma,,Business Analyst,2025-11-07,52227,Mobile App,manager,Welcome@301
Rajesh,Chopra,Male,1988-03-27,rajesh.chopra12@example.com,rajesh76@gmail.com,9850930382,,20,Residency Road,Delhi,414829,246643087509,YDHLH4511K,,33327048990435652,,ICICI Bank,Jubilee Hills,580455973831,HDFC0845581,Shruti Bhat,9792418220,Brother,BBA,2007,58.2,Mumbai University,Wipro,12,Business Analyst,143168,Relocation,,,,Data Analyst,2021-12-03,150951,Data Platform,hr,Welcome@309
Pallavi,Mehta,Female,1996-01-22,pallavi.mehta13@example.com,pallavi19@gmail.com,9793768989,9141875015,243,Park Street,Ahmedabad,167767,752390626595,TCCFN2131B,233635076346,98883934755930582,KL6643215834019,HDFC Bank,Whitefield,117727405868689,BARB0457177,Shalini Kumar,9890286507,Spouse,B.Tech,2010,91.5,Amity University,Infosys,0,Project Manager,127475,Higher studies,,,Pollen,DevOps Engineer,2021-10-17,38173,Mobile App,employee,Welcome@471
Rekha,Nair,Female,1997-12-12,rekha.nair14@example.com,rekha16@gmail.com,9124679809,,139,Park Street,Ahmedabad,178197,624463073429,WJFXA1975C,606507838271,14808362719729535,,State Bank of India,MG Road,528438057575491,KKBK0668759,Priya Chauhan,9846326122,Sister,M.Sc,2012,84.1,Anna University,Cognizant,14,,28852,Better opportunity,Suresh Chopra,Hypertension,Dust,Software Engineer,2023-12-10,188510,Data Platform,manager,Welcome@115
Deepak,Verma,Male,1991-09-09,deepak.verma15@example.com,deepak86@gmail.com,9644226592,,349,Park Street,Bangalore,581600,557551283303,SEHAW4059R,504535792065,09967357276736788,KA4095888316789,Union Bank,MG Road,909352408151,CNRB0627082,Neha Bhat,9211076670,Spouse,MBA,2023,56.9,NIT Trichy,HCL,1,Senior Developer,,Personal reasons,,Diabetes,,Product Manager,2023-04-24,68384,Project Delta,manager,Welcome@462
Vikram,Singh,Male,1991-10-22,vikram.singh16@example.com,vikram11@gmail.com,9651393178,,135,MG Road,Bangalore,353754,515421337418,WIPTJ1682D,861178908666,87323538777493561,KL2871611324632,ICICI Bank,MG Road,539689369796530,UTIB0127378,Neha Mishra,9505013894,Sister,B.Sc,2006,59.2,BITS Pilani,,3,DevOps Engineer,68764,Personal reasons,,,Pollen,UI/UX Designer,2024-08-30,157111,Project Beta,employee,Welcome@455
Lakshmi,Iyer,Female,1995-06-23,lakshmi.iyer17@example.com,lakshmi23@gmail.com,9759973500,,419,Brigade Road,Jaipur,174780,993169645639,RBFSH8037O,411255882966,,KA2628414646344,HDFC Bank,Whitefield,46190738004922,KKBK0932803,Kavita Das,9165510748,Brother,MBA,2013,86.9,BITS Pilani,Tech Mahindra,0,Project Manager,98395,Higher studies,,,,HR Executive,2021-08-26,198124,Project Omega,employee,Welcome@728
Sneha,Singh,Female,2000-05-17,sneha.singh18@example.com,sneha10@gmail.com,9591773666,9813361790,2,Ring Road,Chennai,487767,818738663421,SUIVF7424K,500278744756,,,Union Bank,Salt Lake,55400211906,UTIB0131015,Asha Das,9241980382,Father,M.Com,2012,91.8,Pune University,,5,,137232,Higher studies,Swati Nair,,,DevOps Engineer,2024-07-27,34996,Mobile App,hr,Welcome@930
Vikram,Tiwari,Male,1988-06-06,vikram.tiwari19@example.com,vikram65@gmail.com,9507960814,9696778383,483,Old Airport Road,Bangalore,145087,428820340508,OBVEI4575E,198907573336,44528888475985932,MH1114018635484,ICICI Bank,Jubilee Hills,04073361266717,KKBK0803874,Pranav Kumar,9577642622,Mother,B.Tech,2021,64.0,SRM University,Wipro,5,Data Analyst,,Better opportunity,Vikram Reddy,,,QA Analyst,2023-09-05,44964,Mobile App,employee,Welcome@962
Rohit,Rao,Male,1985-10-23,rohit.rao20@example.com,rohit54@gmail.com,9227923789,,283,FC Road,Pune,121922,788546957080,ZKTTG2782C,,,AP9464444623235,ICICI Bank,Hinjewadi,658679659779922,BARB0561322,Sneha Bhat,9204381452,Father,BCA,2019,71.2,Pune University,Infosys,2,,,Relocation,Sanjay Saxena,,,Product Manager,2025-08-19,95065,Cloud Migration,hr,Welcome@843
Nikhil,Patel,Male,1998-11-29,nikhil.patel21@example.com,nikhil56@gmail.com,9622550600,,10,MG Road,Ahmedabad,327261,074396874319,MIQTT8141A,866643208777,05967717555928202,,ICICI Bank,Viman Nagar,026077566760,HDFC0630748,Vikram Singh,9971363720,Brother,M.Sc,2023,60.4,BITS Pilani,TCS,14,Data Analyst,89358,,,,Dust,Project Manager,2022-01-07,119910,Mobile App,hr,Welcome@640
Suresh,Joshi,Male,1998-11-22,suresh.joshi22@example.com,suresh70@gmail.com,9215095925,9208724423,191,Church Street,Ahmedabad,952208,361760767808,EZLUH5715R,292733326337,,TN3441204298841,IndusInd Bank,Banjara Hills,7092208642898315,INDB0955250,Anand Chopra,9379545192,Mother,BBA,2021,67.4,SRM University,TCS,7,Team Lead,121808,Higher studies,Vivek Iyer,,,DevOps Engineer,2021-04-15,79846,Cloud Migration,employee,Welcome@301
Geeta,Reddy,Female,1986-06-17,geeta.reddy23@example.com,geeta54@gmail.com,9701716870,9184314525,488,Ring Road,Mumbai,635331,550789445133,AUFWW8560K,712323098967,,KL4377567094578,State Bank of India,Koramangala,261817939838,BARB0624902,Harish Saxena,9704991781,Sister,B.Com,2022,73.2,Delhi University,Cognizant,14,DevOps Engineer,103894,Relocation,,Asthma,,UI/UX Designer,2024-10-25,23839,Mobile App,hr,Welcome@817
Nikhil,Reddy,Male,1986-12-04,nikhil.reddy24@example.com,nikhil73@gmail.com,9244222881,,250,Tank Bund,Hyderabad,972220,604831106454,CASHM3942W,,12764819171426735,AP7562763191278,State Bank of India,Viman Nagar,931763650495508,KKBK0381618,Rajesh Chauhan,9653836235,Spouse,BBA,2006,85.6,Pune University,,2,QA Analyst,,Better opportunity,,Diabetes,Dust,Project Manager,2025-11-13,161970,Client Portal,hr,Welcome@444
Shalini,Saxena,Female,1992-11-08,shalini.saxena25@example.com,shalini26@gmail.com,9709145867,9624378447,77,Residency Road,Bangalore,978334,793094177156,ICAGE5337V,723134829396,,MH1414908736142,State Bank of India,Banjara Hills,1800851534482336,INDB0540681,Ananya Verma,9660466366,Spouse,M.Tech,2023,93.9,VIT Vellore,Accenture,10,UI/UX Designer,49475,Higher studies,Asha Gupta,,,Data Analyst,2024-03-16,22815,Project Delta,employee,Welcome@519
Anand,Iyer,Male,1992-11-05,anand.iyer26@example.com,anand30@gmail.com,9522421691,,323,Residency Road,Kolkata,611420,809030020266,SECTD9375F,922741601335,87065789242646444,KL9741207083094,Union Bank,Salt Lake,69795836004,UTIB0260260,Suresh Iyer,9108299053,Spouse,B.Tech,2010,78.8,IIT Delhi,Infosys,10,Software Engineer,149461,Personal reasons,Suresh Reddy,,,UI/UX Designer,2021-07-06,90800,Mobile App,hr,Welcome@904
Rekha,Iyer,Female,1989-08-28,rekha.iyer27@example.com,rekha41@gmail.com,9671993377,9594802646,316,Old Airport Road,Hyderabad,592926,057184298126,NAKDW5260M,711116271838,,KL9452902683438,ICICI Bank,Whitefield,29681521646,BARB0708743,Swati Chopra,9560336405,Father,B.Com,2005,91.2,Pune University,TCS,5,QA Analyst,44286,Personal reasons,,,Dust,UI/UX Designer,2022-07-05,150879,Project Gamma,employee,Welcome@313
Deepak,Chauhan,Male,1997-09-15,deepak.chauhan28@example.com,deepak78@gmail.com,9108062432,,80,Old Airport Road,Mumbai,656740,398847095159,FKJZN0232N,090322756964,24841972857683747,TS3855629678089,Union Bank,Connaught Place,356370995440226,UTIB0871012,Suresh Chauhan,9899973554,Mother,BBA,2006,88.3,BITS Pilani,Wipro,15,DevOps Engineer,94651,Higher studies,Neha Chopra,,,Data Analyst,2025-01-12,115310,Data Platform,manager,Welcome@111
Nikhil,Pillai,Male,1986-05-11,nikhil.pillai29@example.com,nikhil76@gmail.com,9527190306,,369,Park Street,Pune,971001,647290088645,SZQOQ3386H,906299246525,42596993244309922,AP3145387151371,Kotak Mahindra Bank,Salt Lake,4116137130327118,CNRB0313570,Ravi Das,9289335473,Spouse,M.Sc,2022,92.2,Amity University,TCS,11,Senior Developer,,Relocation,Deepak Nair,,,DevOps Engineer,2022-12-17,192293,Mobile App,hr,Welcome@986
Priya,Singh,Female,1994-10-27,priya.singh30@example.com,priya80@gmail.com,9128489602,,274,Tank Bund,Bangalore,997080,439990524709,SRORS5065D,746435697002,,KL6420171789293,IndusInd Bank,Banjara Hills,916856964955,KKBK0986871,Gaurav Das,9775368357,Father,B.Sc,2007,57.9,Mumbai University,Wipro,4,Data Analyst,45535,Personal reasons,Manoj Joshi,Asthma,Penicillin,Senior Developer,2024-11-18,197956,Data Platform,manager,Welcome@953
Nandini,Chauhan,Female,1989-12-23,nandini.chauhan31@example.com,nandini72@gmail.com,9552928630,,20,Tank Bund,Bangalore,616913,662375073673,NVPFS4253J,080417164439,,MH6314671644700,Axis Bank,Andheri West,65771322123,KKBK0483886,Pranav Kumar,9383485937,Brother,MCA,2018,68.2,Pune University,Tech Mahindra,3,,,Better opportunity,,Asthma,,QA Analyst,2023-01-21,147941,Project Alpha,hr,Welcome@207
Nikhil,Das,Male,1998-10-20,nikhil.das32@example.com,nikhil58@gmail.com,9647960793,9643621962,140,Church Street,Chennai,313282,795173894420,UTQMC2213R,575340959432,40244541654346431,MH5197098312844,IndusInd Bank,Jubilee Hills,925131314866223,KKBK0561165,Anjali Rao,9738884280,Mother,B.Com,2008,63.8,Anna University,Cognizant,14,Technical Architect,62923,Better opportunity,,,,QA Analyst,2020-08-07,109184,Project Delta,manager,Welcome@313
Ravi,Bhat,Male,1995-02-07,ravi.bhat33@example.com,ravi57@gmail.com,9853306477,9198522429,33,Brigade Road,Ahmedabad,758841,003154195742,KWSCU8879Z,488992821059,88177982609449687,TN9066877254656,Canara Bank,Viman Nagar,235983822240,UBIN0169792,Anand Tiwari,9262875540,Brother,M.Tech,2006,65.4,Anna University,Tech Mahindra,0,HR Executive,108560,,Geeta Das,,,Business Analyst,2021-04-04,73034,Project Alpha,manager,Welcome@637
Rekha,Pillai,Female,1995-08-07,rekha.pillai34@example.com,rekha11@gmail.com,9399585366,,300,Park Street,Pune,898359,591097070404,CGNUG2298F,910851903241,,TN5497031956449,HDFC Bank,MG Road,28094764064,INDB0896055,Rekha Patel,9847891579,Father,M.Com,2017,65.6,NIT Trichy,TCS,9,Team Lead,,Personal reasons,Naveen Gupta,,Penicillin,HR Executive,2020-06-03,159226,Project Delta,employee,Welcome@190
Rajesh,Joshi,Male,1999-04-02,rajesh.joshi35@example.com,rajesh18@gmail.com,9481669692,9658227206,476,Brigade Road,Mumbai,581369,866899147160,UCNFL3979B,,65800218787894588,KA3768061838775,Punjab National Bank,Banjara Hills,47083060413,KKBK0968224,Meena Nair,9917757858,Father,BCA,2017,82.2,Amity University,Cognizant,12,,122055,,,,,Team Lead,2022-02-20,108509,Mobile App,hr,Welcome@705
Rajesh,Reddy,Male,1987-01-20,rajesh.reddy36@example.com,rajesh55@gmail.com,9503717658,,318,Residency Road,Bangalore,616455,949050660895,WXMPD6275Z,007496926423,,,Punjab National Bank,Viman Nagar,7367924594955,ICIC0829076,Manoj Mishra,9112265643,Mother,B.Com,2005,82.9,SRM University,,12,,76478,Relocation,,,Dust,HR Executive,2022-03-04,160081,Client Portal,employee,Welcome@100
Rekha,Patel,Female,2000-06-18,rekha.patel37@example.com,rekha40@gmail.com,9447870657,,62,Church Street,Kolkata,998098,482505573135,RSMLB0877V,404463505488,84611611433780928,MH5467476564844,ICICI Bank,Jubilee Hills,06417108650,HDFC0498256,Priya Tiwari,9537431725,Mother,B.Tech,2019,88.4,Mumbai University,Tech Mahindra,3,HR Executive,,Personal reasons,,,Dust,Senior Developer,2025-10-01,154823,Client Portal,manager,Welcome@664
Kavita,Chopra,Female,1987-09-11,kavita.chopra38@example.com,kavita94@gmail.com,9357260049,9764938111,419,Church Street,Jaipur,740796,630204914090,QMZRB3672K,219909843649,,,Axis Bank,Koramangala,469119738243344,PUNB0837771,Gaurav Rao,9926934075,Spouse,B.Sc,2008,71.2,BITS Pilani,,12,,24076,Personal reasons,,,,Software Engineer,2025-08-23,159004,Project Alpha,manager,Welcome@771
Rani,Sharma,Female,1987-12-05,rani.sharma39@example.com,rani75@gmail.com,9484684125,9511776950,185,Residency Road,Ahmedabad,934633,046331842910,AJPFG4214M,,27617338683311066,TS6831244070096,Axis Bank,Jubilee Hills,921492552738,SBIN0633953,Meena Chopra,9517858519,Father,M.Tech,2016,66.0,BITS Pilani,Tech Mahindra,15,Project Manager,37945,Better opportunity,Lakshmi Chauhan,Hypertension,,Software Engineer,2022-02-14,75676,Project Omega,hr,Welcome@606
Nandini,Pillai,Female,1991-03-15,nandini.pillai40@example.com,nandini87@gmail.com,9695007496,,323,Residency Road,Pune,900829,740868911792,SIEKR5245M,992222408279,,KL2112797393647,IndusInd Bank,Whitefield,0282941122080,HDFC0157962,Vivek Reddy,9137598732,Mother,B.Tech,2021,56.7,VIT Vellore,HCL,10,HR Executive,70902,Higher studies,,,,Software Engineer,2020-06-09,100281,Data Platform,hr,Welcome@571
Asha,Saxena,Female,1993-06-16,asha.saxena41@example.com,asha24@gmail.com,9322497569,,277,FC Road,Mumbai,311707,688842488441,QOVHM7896D,286076980032,,,Canara Bank,Hinjewadi,990578535785218,UBIN0500174,Ajay Reddy,9283803459,Father,BBA,2011,79.8,IIT Delhi,Wipro,3,Data Analyst,102771,Personal reasons,Suresh Nair,Hypertension,Pollen,Senior Developer,2020-08-06,188931,Project Gamma,manager,Welcome@421
Kavita,Chopra,Female,1991-01-31,kavita.chopra42@example.com,kavita65@gmail.com,9929546205,,299,NH 44,Delhi,612689,693523246393,IWCCS0927I,,,TN7943196587065,Bank of Baroda,Koramangala,09756161992,UTIB0791781,Ajay Sharma,9472188719,Father,M.Tech,2017,62.7,Mumbai University,Infosys,7,DevOps Engineer,137605,Relocation,Swati Gupta,Hypertension,,HR Executive,2025-05-31,71612,Project Delta,manager,Welcome@467
Ajay,Sharma,Male,1999-03-02,ajay.sharma43@example.com,ajay66@gmail.com,9132749395,,278,Church Street,Bangalore,192051,661774746795,DPKUP1911T,,,TN1577626077273,Kotak Mahindra Bank,Whitefield,768762344799,UBIN0791400,Nikhil Nair,9398571277,Brother,MCA,2017,74.9,Anna University,Tech Mahindra,9,,50711,Better opportunity,,,,Software Engineer,2025-12-18,60183,Mobile App,employee,Welcome@786
Gaurav,Verma,Male,1993-12-18,gaurav.verma44@example.com,gaurav44@gmail.com,9883183033,,208,NH 44,Mumbai,428112,115966172942,JXMDX5186L,306179526708,29548066388099017,AP8421485678508,Axis Bank,Salt Lake,27963367287465,SBIN0375256,Nikhil Bhat,9628711244,Mother,B.Tech,2023,71.9,IIT Delhi,,5,UI/UX Designer,36643,,Anand Verma,,,Team Lead,2022-12-17,161176,Project Gamma,employee,Welcome@988
Manoj,Verma,Male,1993-08-13,manoj.verma45@example.com,manoj46@gmail.com,9816389413,,283,Brigade Road,Chennai,795310,523223949359,BIPQG3724N,438252245943,,,ICICI Bank,Connaught Place,2513857736420,INDB0959012,Geeta Sharma,9450500772,Spouse,M.Com,2010,62.5,SRM University,Wipro,14,HR Executive,,Better opportunity,,,,DevOps Engineer,2020-10-10,119387,Data Platform,employee,Welcome@576
Geeta,Reddy,Female,1999-11-15,geeta.reddy46@example.com,geeta39@gmail.com,9903437281,,368,Brigade Road,Ahmedabad,246346,607339448271,PAHTS2703Z,669700654468,,KA6726526506081,IndusInd Bank,Hinjewadi,29586695241,UBIN0405087,Ajay Das,9716293621,Brother,MCA,2011,91.4,NIT Trichy,,2,QA Analyst,82638,Personal reasons,Amit Chauhan,Hypertension,Pollen,Team Lead,2020-03-21,112049,Internal Tools,hr,Welcome@379
Suresh,Pillai,Male,1987-05-24,suresh.pillai47@example.com,suresh75@gmail.com,9533815340,9604770697,202,Church Street,Chennai,366361,038660835668,BOCVA7107T,,,,Union Bank,Koramangala,59664007720,HDFC0596420,Vikram Iyer,9564972785,Sister,M.Tech,2017,90.3,Pune University,Infosys,15,Product Manager,88033,,Sneha Das,,,Data Analyst,2021-02-23,182416,Project Alpha,manager,Welcome@438
Sanjay,Tiwari,Male,1993-01-14,sanjay.tiwari48@example.com,sanjay67@gmail.com,9128056666,,450,Residency Road,Jaipur,870692,751838177637,XFJFO7996V,586806793239,,TN5112140411571,HDFC Bank,Connaught Place,1533265120375,ICIC0195026,Anand Bhat,9661787391,Mother,MCA,2021,90.9,Amity University,Infosys,11,QA Analyst,88295,Higher studies,,,,DevOps Engineer,2023-03-28,106010,Project Beta,manager,Welcome@320
Manoj,Mishra,Male,1988-05-24,manoj.mishra49@example.com,manoj80@gmail.com,9587253115,,112,NH 44,Hyderabad,142348,652357023730,TNWKO0231V,,38008511669108262,,Punjab National Bank,Whitefield,0847055115478379,BARB0943354,Pranav Pillai,9733023172,Mother,B.Tech,2009,55.6,Pune University,,8,HR Executive,90592,Personal reasons,Shruti Gupta,,,DevOps Engineer,2022-02-24,144084,Cloud Migration,employee,Welcome@818
Ajay,Chauhan,Male,1985-06-06,ajay.chauhan50@example.com,ajay18@gmail.com,9766905854,,326,Ring Road,Hyderabad,443661,945052251935,LFQJU1219B,214186468152,,KA5861059064944,Union Bank,Andheri West,699652627572,CNRB0352001,Anand Das,9491437839,Mother,B.Com,2007,91.9,BITS Pilani,Accenture,2,,81227,Better opportunity,Swati Verma,,,Senior Developer,2025-11-13,70659,Internal Tools,hr,Welcome@136
